NumCidades,NumAbelhas,NumFormigas,CustoABC,TempoABC,CustoACO,TempoACO
25,30,70,4.756333,3.2521,4.753721,74.4263
25,30,80,4.756333,2.5734,4.753721,72.2580
25,30,90,4.756333,2.5335,4.753721,109.5092
25,40,10,4.812231,3.6809,4.756333,11.3680
25,40,20,4.812231,4.9283,4.753721,27.0441
25,40,30,4.812231,4.5956,4.753721,36.7686
25,40,40,4.812231,4.6477,4.753721,47.3506
25,40,50,4.812231,3.4887,4.753721,46.9538
25,40,60,4.812231,3.4269,4.753721,54.5851
25,40,70,4.812231,3.4589,4.753721,64.2390
25,40,80,4.812231,3.3780,4.753721,73.2851
25,40,90,4.812231,3.4770,4.753721,108.0520
25,50,10,4.820940,5.6262,4.753721,12.2758
25,50,20,4.820940,5.6824,4.753721,23.9391
25,50,30,4.820940,5.6986,4.753721,39.2474
25,50,40,4.820940,5.6629,4.753721,49.2060
25,50,50,4.820940,5.8038,4.753721,60.8277
25,50,60,4.820940,5.2355,4.753721,61.0091
25,50,70,4.820940,4.6519,4.753721,71.1134
25,50,80,4.820940,5.2201,4.753721,155.9708
25,50,90,4.820940,4.7442,4.753721,87.8957
25,60,10,4.756333,5.5020,4.753721,9.8369
25,60,20,4.756333,5.4801,4.753721,22.0816
25,60,30,4.756333,5.4382,4.753721,27.1163
25,60,40,4.756333,5.2947,4.753721,35.9978
25,60,50,4.756333,5.1513,4.753721,45.4795
25,60,60,4.756333,5.1436,4.753721,54.7068
25,60,70,4.756333,5.1435,4.753721,62.8334
25,60,80,4.756333,5.1631,4.753721,73.4034
25,60,90,4.756333,5.1394,4.753721,81.5845
25,70,10,4.828036,6.0669,4.753721,9.2766
25,70,20,4.828036,5.9662,4.753721,18.2967
25,70,30,4.828036,6.0525,4.753721,27.3067
25,70,40,4.828036,5.9174,4.753721,36.8307
25,70,50,4.828036,6.0096,4.753721,45.3416
25,70,60,4.828036,5.9581,4.753721,54.2523
25,70,70,4.828036,5.9937,4.753721,63.1832
25,70,80,4.828036,6.0026,4.753721,72.3729
25,70,90,4.828036,6.0485,4.753721,81.8625
25,80,10,4.833293,6.9610,4.753721,9.0961
25,80,20,4.833293,6.8488,4.753721,18.0167
25,80,30,4.833293,6.8799,4.753721,26.8999
